Município;Qtd_aprovada;Valor_aprovado;Qtd_apresentada;Valor_apresentado;Qtd_Recusa_Pgto;Perda_Repasse
261060 Paudalho;31534;161467,47;31534;161467,47;0;0
261070 Paulista;171310;1022207,26;171915;1031132,47;605;8925,21
261090 Pesqueira;28453;136569,97;28493;137314,08;40;744,11
261100 Petrolândia;42085;55693,8;42085;55693,8;0;0
261110 Petrolina;130838;1468620,1;130890;1468947,7;52;327,6
261120 Poção;5902;27133,7;5995;27392,17;93;258,47
261130 Pombos;18756;60846,95;18756;60846,95;0;0
261140 Primavera;5538;16026,54;5538;16026,54;0;0
261153 Quixaba;5695;231,6;5695;231,6;0;0
261160 Recife;5180157;37108718,7;5234991;37743244,74;54834;634526,04
261180 Ribeirão;3808;38637,06;3808;38637,06;0;0
261190 Rio Formoso;5668;27838,45;5668;27838,45;0;0
261210 Salgadinho;4109;6894,87;4109;6894,87;0;0
261220 Salgueiro;60842;784474,78;65371;806192,88;4529;21718,1
261270 Santa Maria do Cambucá;6077;2198,05;6077;2198,05;0;0
261280 Santa Terezinha;4671;19622,97;4671;19622,97;0;0
261300 São Bento do Una;13800;39283,91;13800;39283,91;0;0
261320 São João;7027;34219,41;7027;34219,41;0;0
261370 São Lourenço da Mata;55169;165637,57;55169;165637,57;0;0
261380 São Vicente Ferrer;9800;29192,99;9800;29192,99;0;0
261390 Serra Talhada;35336;307593,29;35336;307593,29;0;0
261400 Serrita;14973;16294,92;15161;16808,16;188;513,24
261420 Sirinhaém;19906;94833,83;19906;94833,83;0;0
261440 Solidão;2377;4664,69;2454;5136,72;77;472,03
261450 Surubim;85474;362882,53;85474;362882,53;0;0
261460 Tabira;19958;85810,26;19958;85810,26;0;0
261480 Tacaratu;2324;8104,23;2324;8104,23;0;0
261500 Taquaritinga do Norte;5299;23615,28;5299;23615,28;0;0
261520 Terra Nova;8401;7935,2;9085;11875,4;684;3940,2
261550 Tracunhaém;7001;14438,03;7001;14438,03;0;0
261560 Trindade;9876;112954,25;16386;179043,16;6510;66088,91
261590 Tuparetama;4890;26031,33;4890;26031,33;0;0
261600 Venturosa;34005;76729,54;34005;76729,54;0;0
261610 Verdejante;3444;30839,34;3522;31812;78;972,66
261618 Vertente do Lério;6795;4058,13;6795;4058,13;0;0
261620 Vertentes;11270;62513,01;11270;62513,01;0;0
261630 Vicência;7677;42330,14;7709;42650,14;32;320
261640 Vitória de Santo Antão;82739;1099278,25;82977;1100936,75;238;1658,5
270010 Água Branca;6490;31883,52;8012;38676,02;1522;6792,5
270020 Anadia;6143;31195,58;6230;31195,58;87;0
270030 Arapiraca;260894;4029211,48;266252;4052541,7;5358;23330,22
270040 Atalaia;17746;84092,3;17758;84092,3;12;0
270050 Barra de Santo Antônio;8741;21901,45;8741;21901,45;0;0
270060 Barra de São Miguel;1333;6064,37;1363;6364,37;30;300
270070 Batalha;22;-;22;-;0;0
270100 Boca da Mata;10338;55228,83;14509;81655,95;4171;26427,12
270110 Branquinha;12578;6729,68;12578;6729,68;0;0
270120 Cacimbinhas;6723;12351;6723;12351;0;0
270130 Cajueiro;6444;18367,85;6829;23135,05;385;4767,2
270135 Campestre;539;946,12;835;3783,89;296;2837,77
270140 Campo Alegre;14;-;14;-;0;0
270170 Capela;15298;79131,84;16716;82211,68;1418;3079,84
270180 Carneiros;3131;9572,6;3131;9572,6;0;0
270190 Chã Preta;2703;2551,29;2703;2551,29;0;0
270210 Colônia Leopoldina;3703;25105,93;3728;25467,73;25;361,8
270230 Coruripe;44;-;44;-;0;0
270235 Craíbas;12725;29093,31;12725;29093,31;0;0
270240 Delmiro Gouveia;44422;136887,86;44583;138337,86;161;1450
270250 Dois Riachos;3276;10154,74;3276;10154,74;0;0
270255 Estrela de Alagoas;388;-;557;-;169;0
270270 Feliz Deserto;541;8400,25;541;8400,25;0;0
270280 Flexeiras;9943;21964,98;9945;22002,08;2;37,1
270290 Girau do Ponciano;40;-;40;-;0;0
270310 Igaci;7015;33788,59;7015;33788,59;0;0
270330 Inhapi;17;-;17;-;0;0
270340 Jacaré dos Homens;151;316,8;151;316,8;0;0
270350 Jacuípe;1628;1047,48;1628;1047,48;0;0
270360 Japaratinga;3816;1976,43;3816;1976,43;0;0
270370 Jaramataia;213;880;213;880;0;0
270380 Joaquim Gomes;4822;20366,91;8329;39298,85;3507;18931,94
270400 Junqueiro;17821;68381,62;17821;68381,62;0;0
270430 Maceió;1547380;13805954,55;1576351;14176369,88;28971;370415,33
270450 Maragogi;13348;22824,76;14132;26591,66;784;3766,9
270470 Marechal Deodoro;36099;149934,45;36193;150874,45;94;940
270480 Maribondo;30;-;30;-;0;0
270500 Mata Grande;15;-;15;-;0;0
270520 Messias;6747;30775,33;6771;30936,38;24;161,05
270530 Minador do Negrão;778;5486,5;778;5486,5;0;0
270540 Monteirópolis;811;6602,52;811;6602,52;0;0
270550 Murici;24584;98678,31;44715;115878,03;20131;17199,72
270560 Novo Lino;5895;10706,56;5901;10728,76;6;22,2
270570 Olho d'Água das Flores;21116;53003,1;21357;53691,75;241;688,65
270580 Olho d'Água do Casado;21;-;21;-;0;0
270590 Olho d'Água Grande;2276;3465,33;2322;4674,78;46;1209,45
270600 Olivença;355;3448,34;357;3496,74;2;48,4
270610 Ouro Branco;2202;6320,25;2202;6320,25;0;0
270630 Palmeira dos Índios;44042;643124,12;45521;675017,43;1479;31893,31
270640 Pão de Açúcar;1873;12038,03;2202;13298,03;329;1260
270642 Pariconha;5594;13241,14;5594;13241,14;0;0
270644 Paripueira;9308;24908,39;9309;24909,83;1;1,44
270650 Passo de Camaragibe;4660;3700,5;4795;4172,95;135;472,45
270660 Paulo Jacinto;6439;18357,94;6982;24654,34;543;6296,4
270670 Penedo;33975;227986,3;35984;251931,15;2009;23944,85
270680 Piaçabuçu;6287;31302,42;6287;31302,42;0;0
270690 Pilar;25344;112300,03;33900;138815,81;8556;26515,78
270700 Pindoba;369;1419,36;369;1419,36;0;0
270710 Piranhas;13583;64617,68;13818;65780,93;235;1163,25
270730 Porto Calvo;21282;69061,07;24749;112294,56;3467;43233,49
270740 Porto de Pedras;2554;2148,26;2554;2148,26;0;0
270750 Porto Real do Colégio;2766;9732,86;2941;9732,86;175;0
270760 Quebrangulo;13604;44606,79;13604;44606,79;0;0
270770 Rio Largo;25476;93198,92;26076;96297,95;600;3099,03
270780 Roteiro;497;4194,3;550;5518,15;53;1323,85
270800 Santana do Ipanema;65594;387373,1;65618;387616,08;24;242,98
270810 Santana do Mundaú;3170;10844,23;3252;12966,13;82;2121,9
270820 São Brás;2530;4348,79;2530;4348,79;0;0
270830 São José da Laje;10086;42694,46;10086;42694,46;0;0
270840 São José da Tapera;41;-;41;-;0;0
270850 São Luís do Quitunde;13046;48617,66;13105;48680,21;59;62,55
270860 São Miguel dos Campos;46690;416872,26;47072;418657,88;382;1785,62
270870 São Miguel dos Milagres;348;410;348;410;0;0
270880 São Sebastião;42;-;42;-;0;0
270890 Satuba;2392;4400;2605;6743;213;2343
270895 Senador Rui Palmeira;1211;6149,97;1211;6149,97;0;0
270900 Tanque d'Arca;602;6104,4;602;6104,4;0;0
270915 Teotônio Vilela;41797;170369,62;41854;170369,62;57;0
270920 Traipu;17;-;17;-;0;0
270930 União dos Palmares;39490;193445,55;39592;195050,95;102;1605,4
270940 Viçosa;23508;65403,63;24034;68007,33;526;2603,7
280020 Aquidabã;4724;34305,24;4864;34305,24;140;0
280030 Aracaju;1176553;7289974,56;1635182;8522231,11;458629;1232256,55
280040 Arauá;4330;16213,87;4330;16213,87;0;0
280050 Areia Branca;23726;17970,76;24789;18339,31;1063;368,55
280060 Barra dos Coqueiros;8850;35765,16;8850;35765,16;0;0
280067 Boquim;10854;45365,54;10855;45372,84;1;7,3
280100 Campo do Brito;19368;9961,18;19368;9961,18;0;0
280120 Canindé de São Francisco;954;2780,23;954;2780,23;0;0
280130 Capela;5584;41985,53;7808;49100,52;2224;7114,99
280140 Carira;11546;3008,46;15199;17804,29;3653;14795,83
280150 Carmópolis;31;-;31;-;0;0
280170 Cristinápolis;23275;8224,3;23361;8637,68;86;413,38
280190 Cumbe;1571;5495,7;1571;5495,7;0;0
280210 Estância;115474;701537,36;115479;701546,11;5;8,75
280230 Frei Paulo;490;3880,8;490;3880,8;0;0
280260 Gracho Cardoso;337;7419,57;337;7419,57;0;0
280270 Ilha das Flores;2643;4624,6;2643;4624,6;0;0
280280 Indiaroba;7217;11798,14;7222;11798,14;5;0
280290 Itabaiana;111269;1073115,67;111502;1073115,67;233;0
280310 Itabi;4212;-;4212;-;0;0
280320 Itaporanga d'Ajuda;101381;129236,6;312064;262012,03;210683;132775,43
280330 Japaratuba;9281;21012,93;11053;23644,44;1772;2631,51
280340 Japoatã;1664;17422,64;2269;24151,24;605;6728,6
280350 Lagarto;125780;442336,13;126143;442336,13;363;0
280360 Laranjeiras;9867;58000;9867;58000;0;0
280370 Macambira;8078;2296,9;8078;2296,9;0;0
280380 Malhada dos Bois;513;1493,41;513;1493,41;0;0
280400 Maruim;8133;34491,78;8133;34491,78;0;0
280410 Moita Bonita;2205;8514,94;2228;8568,75;23;53,81
280420 Monte Alegre de Sergipe;1356;4015,5;1356;4015,5;0;0
280440 Neópolis;15654;50479,87;15986;51689,88;332;1210,01
280450 Nossa Senhora da Glória;30759;149070,28;30759;149070,28;0;0
280460 Nossa Senhora das Dores;333;-;333;-;0;0
280470 Nossa Senhora de Lourdes;576;1765,42;784;3042,64;208;1277,22
280480 Nossa Senhora do Socorro;123280;390860,31;123729;393287,8;449;2427,49
280520 Pinhão;1892;-;1892;-;0;0
280530 Pirambu;903;3269,7;903;3269,7;0;0
280540 Poço Redondo;12644;69733;16838;113290;4194;43557
280550 Poço Verde;10663;37212,46;12610;51844,7;1947;14632,24
280560 Porto da Folha;28853;48137,83;28853;48137,83;0;0
280570 Propriá;62042;334907,9;62362;337447,82;320;2539,92
280590 Riachuelo;483;5641,32;1025;11603,32;542;5962
280600 Ribeirópolis;1087;4200,22;1087;4200,22;0;0
280610 Rosário do Catete;62;-;62;-;0;0
280620 Salgado;1526;5328,36;1526;5328,36;0;0
280630 Santa Luzia do Itanhy;87;177,03;87;177,03;0;0
280650 Santa Rosa de Lima;633;2243,09;633;2243,09;0;0
280660 Santo Amaro das Brotas;343;1601,81;343;1601,81;0;0
280670 São Cristóvão;12527;63698,46;13113;70290,38;586;6591,92
280680 São Domingos;5765;-;5791;-;26;0
280690 São Francisco;14;-;14;-;0;0
280700 São Miguel do Aleixo;2237;83,5;2237;83,5;0;0
280710 Simão Dias;2121;9163,35;2152;9213,04;31;49,69
280720 Siriri;650;1634,7;650;1634,7;0;0
280740 Tobias Barreto;25350;110920,66;25405;110938,08;55;17,42
280750 Tomar do Geru;3356;10547;4139;19160;783;8613
280760 Umbaúba;6053;26328,68;6171;26879,74;118;551,06
290010 Abaíra;525;2454,15;2792;12195,9;2267;9741,75
290020 Abaré;2157;3036,26;2719;6028,74;562;2992,48
290030 Acajutiba;11649;5495,95;14509;21787,19;2860;16291,24
290035 Adustina;5065;3086,4;5065;3086,4;0;0
290040 Água Fria;2663;13589,05;3477;19539,52;814;5950,47
290060 Aiquara;3400;45,88;3400;45,88;0;0
290070 Alagoinhas;299270;803531,49;315666;906994,31;16396;103462,82
290080 Alcobaça;8782;39054,73;10346;40390,12;1564;1335,39
290090 Almadina;307;1450,8;471;3057,15;164;1606,35
290100 Amargosa;30117;76457,21;30188;76457,21;71;0
290110 Amélia Rodrigues;9459;41452,15;12045;56362,61;2586;14910,46
290115 América Dourada;4323;9514,93;6654;27855,02;2331;18340,09
290120 Anagé;4361;31032,79;5726;45192,03;1365;14159,24
290130 Andaraí;11073;22374,85;12566;35286,65;1493;12911,8
290140 Angical;559;3442,95;948;6114,6;389;2671,65
290150 Anguera;225;1113,75;361;1786,95;136;673,2
290160 Antas;5928;38500,08;9198;52354,37;3270;13854,29
290170 Antônio Cardoso;217;-;217;-;0;0
290190 Aporá;15607;15680,83;18340;24886,23;2733;9205,4
290195 Apuarema;405;1728,45;2545;21959,4;2140;20230,95
290205 Araças;1955;10979,37;2465;13113,8;510;2134,43
290200 Aracatu;2874;12525,85;7004;31026,86;4130;18501,01
290210 Araci;17551;64229,87;17615;64767,47;64;537,6
290220 Aramari;773;6863,9;1027;9163,9;254;2300
290225 Arataca;1567;4781,16;1658;5398,86;91;617,7
290230 Aratuípe;237;940,5;857;4009,5;620;3069
290240 Aurelino Leal;8536;49848,9;9023;52532,46;487;2683,56
290250 Baianópolis;3427;15967,81;4037;19244,67;610;3276,86
290260 Baixa Grande;3189;15630,39;4765;23287,13;1576;7656,74
290265 Banzaê;496;3086,85;2835;22609,5;2339;19522,65
290270 Barra;35797;254981,53;44545;325941,84;8748;70960,31
290280 Barra da Estiva;1945;19195,92;9539;72426,61;7594;53230,69
290300 Barra do Mendes;5293;11735,4;9645;32721,63;4352;20986,23
290310 Barra do Rocha;235;934;235;934;0;0
290320 Barreiras;240812;1772142,32;240864;1772142,32;52;0
290323 Barro Alto;556;3765,86;862;6347,09;306;2581,23
290330 Barro Preto;2495;9285,82;3096;14130,34;601;4844,52
290327 Barrocas;6881;14200,76;8729;22496,91;1848;8296,15
290340 Belmonte;1881;12064,82;1909;12182,21;28;117,39
290350 Belo Campo;18567;51881,96;19371;52637,15;804;755,19
290360 Biritinga;841;6754,33;2052;15778,91;1211;9024,58
290370 Boa Nova;602;3749,1;778;4975,5;176;1226,4
290380 Boa Vista do Tupim;1998;12189,56;2127;13082,72;129;893,16
290390 Bom Jesus da Lapa;34571;197981,82;34595;198020,76;24;38,94
290395 Bom Jesus da Serra;5937;12552,29;8761;28182,03;2824;15629,74
290400 Boninal;624;3270,08;2047;12051,44;1423;8781,36
290405 Bonito;1067;3707,66;1699;6757,87;632;3050,21
290410 Boquira;8251;38345,32;14029;74127,32;5778;35782
290420 Botuporã;8721;25815,78;12687;49471,8;3966;23656,02
290430 Brejões;1577;13297,72;1787;14872,57;210;1574,85
290440 Brejolândia;2002;-;2002;-;0;0
290450 Brotas de Macaúbas;4627;11175,83;5371;17165,98;744;5990,15
290460 Brumado;60607;847222,47;61359;849064,62;752;1842,15
290475 Buritirama;861;5640,55;2004;16082,15;1143;10441,6
290480 Caatiba;213;964,94;243;1105,04;30;140,1
290485 Cabaceiras do Paraguaçu;1118;1188,9;1118;1188,9;0;0
290490 Cachoeira;18246;73644,63;22114;92795,83;3868;19151,2
290510 Caém;2686;11385,66;3135;13994,61;449;2608,95
290515 Caetanos;953;1819,35;960;1854;7;34,65
290530 Cafarnaum;1135;5002,71;5157;32253,87;4022;27251,16
290540 Cairu;2088;12331,33;3754;29158,18;1666;16826,85
290550 Caldeirão Grande;2096;15772,19;2181;16819,46;85;1047,27
290560 Camacan;45685;344771,09;53962;394894,47;8277;50123,38
290570 Camaçari;272818;1976812,83;303519;2142564,33;30701;165751,5
290580 Camamu;8275;51617,25;8966;56214,66;691;4597,41
290590 Campo Alegre de Lourdes;2121;11892,22;5980;40784,97;3859;28892,75
290600 Campo Formoso;10704;69277,35;10749;70082,67;45;805,32
290610 Canápolis;3005;22040,85;3121;23008,08;116;967,23
290620 Canarana;2504;15332,95;6812;39053,54;4308;23720,59
290630 Canavieiras;36968;51254,28;42390;77848,69;5422;26594,41
290640 Candeal;172;352,8;698;3666,6;526;3313,8
290660 Candiba;1160;7378,65;2480;17762,4;1320;10383,75
290670 Cândido Sales;10323;54522,4;12419;86532,5;2096;32010,1
290680 Cansanção;22233;22432,2;23991;30950,94;1758;8518,74
290682 Canudos;4048;18010,96;25543;136355,34;21495;118344,38
290687 Capim Grosso;23238;150066,81;23396;150951,76;158;884,95
290689 Caraíbas;2354;7454,1;2524;8238,36;170;784,26
290690 Caravelas;7552;13008,22;11564;31025,14;4012;18016,92
290700 Cardeal da Silva;648;4772,17;8758;41706,09;8110;36933,92
290720 Casa Nova;4738;27561,27;15674;89535,15;10936;61973,88
290730 Castro Alves;17218;66247,88;17218;66247,88;0;0
290740 Catolândia;18;287,1;18;287,1;0;0
290750 Catu;84537;127695,3;84599;127882,84;62;187,54
290755 Caturama;1224;4775,24;2402;10679,82;1178;5904,58
290760 Central;2336;13593,03;2953;19831,56;617;6238,53
290770 Chorrochó;2196;2870,1;2392;4514,7;196;1644,6
290790 Cipó;245;1895,6;277;2002,22;32;106,62
290810 Cocos;6371;30446,66;8235;45794,01;1864;15347,35
290820 Conceição da Feira;3228;15977,92;6599;33983,95;3371;18006,03
290840 Conceição do Coité;9004;68137,58;19445;114847,28;10441;46709,7
290850 Conceição do Jacuípe;6845;59072,66;6845;59072,66;0;0
290860 Conde;10127;21708,24;10547;24031,45;420;2323,21
290870 Condeúba;23392;197170,41;24106;200895,82;714;3725,41
290880 Contendas do Sincorá;874;207,9;901;378;27;170,1
290890 Coração de Maria;21203;114680,39;22295;121869,62;1092;7189,23
290900 Cordeiros;11218;1434,15;11507;2864,7;289;1430,55
290920 Coronel João Sá;5165;11408,45;5500;12242,27;335;833,82
290930 Correntina;12175;35187,74;19771;68197,93;7596;33010,19
290940 Cotegipe;4361;3710,19;6089;10190,43;1728;6480,24
290950 Cravolândia;234;1956,3;293;2868,24;59;911,94
290960 Crisópolis;6387;18365,11;6387;18365,11;0;0
290970 Cristópolis;20683;113765,45;29540;160964,77;8857;47199,32
290990 Curaçá;19828;17995,53;25131;78027,54;5303;60032,01
291000 Dário Meira;2335;7046,31;4346;12894,94;2011;5848,63
291005 Dias d'Ávila;29629;87967,3;32255;99802,06;2626;11834,76
291010 Dom Basílio;1890;8277,74;3887;19349,39;1997;11071,65
291040 Encruzilhada;8186;47507,52;10663;60894,78;2477;13387,26
291050 Entre Rios;17342;43921,3;24133;64642,56;6791;20721,26
290050 Érico Cardoso;2222;10227,73;2946;14267,13;724;4039,4
291060 Esplanada;6623;33505,07;9855;54586,53;3232;21081,46
291072 Eunápolis;79180;1040529,66;79411;1041784,15;231;1254,49
291075 Fátima;3724;4768,35;5352;16204,5;1628;11436,15
291077 Feira da Mata;580;3597;1043;6481,65;463;2884,65
291080 Feira de Santana;414775;7229531,86;416209;7240876,04;1434;11344,18
291085 Filadélfia;17741;34366,38;23095;58715,51;5354;24349,13
291090 Firmino Alves;178;881,1;178;881,1;0;0
291100 Floresta Azul;120;-;120;-;0;0
291110 Formosa do Rio Preto;4625;24438,58;6739;38034,24;2114;13595,66
291120 Gandu;2;-;2;-;0;0
291125 Gavião;160;966,15;340;1945,05;180;978,9
291130 Gentio do Ouro;1741;5946,85;2612;9942,1;871;3995,25
291140 Glória;11606;5957,89;22417;42050,05;10811;36092,16
291150 Gongogi;1954;9177,82;2147;9862,72;193;684,9
291160 Governador Mangabeira;8649;36933,11;8856;38539,13;207;1606,02
291165 Guajeru;514;1653,75;850;6818,55;336;5164,8
291170 Guanambi;91808;1029840,85;93498;1029868,79;1690;27,94
291180 Guaratinga;1398;15767,61;2393;24176,4;995;8408,79
291185 Heliópolis;11;-;11;-;0;0
291200 Ibiassucê;7779;52244,43;7779;52244,43;0;0
291210 Ibicaraí;27923;28946,55;27980;29242,9;57;296,35
291220 Ibicoara;4733;3710,85;8657;47613,3;3924;43902,45
291230 Ibicuí;3192;20237,17;5239;32543,4;2047;12306,23
291240 Ibipeba;3447;12752,34;5803;28392,72;2356;15640,38
291250 Ibipitanga;2620;9088,86;5783;18283,08;3163;9194,22
291260 Ibiquera;1043;2700,75;1521;5793,9;478;3093,15
291270 Ibirapitanga;4713;25989,69;6311;37658,53;1598;11668,84
291280 Ibirapuã;4553;15126,67;4713;18016,31;160;2889,64
291300 Ibitiara;14648;22873,41;16294;31445,91;1646;8572,5
291310 Ibititá;4495;14990,5;5071;17841,7;576;2851,2
291320 Ibotirama;14053;88239,22;14053;88239,22;0;0
291330 Ichu;1966;9802,5;2411;12050,62;445;2248,12
291340 Igaporã;4376;23285,76;8787;45349,96;4411;22064,2
291345 Igrapiúna;620;3246,55;940;6411,2;320;3164,65
291350 Iguaí;8271;56104,97;9158;65821,98;887;9717,01
291360 Ilhéus;179094;2005077,88;181495;2040647,36;2401;35569,48
291370 Inhambupe;17982;69580,72;18158;69580,72;176;0
291380 Ipecaetá;1921;13702,34;2110;14881,61;189;1179,27
291390 Ipiaú;27106;145330,87;29187;158067,56;2081;12736,69
291410 Ipupiara;952;8811,23;1925;15335,17;973;6523,94
291420 Irajuba;4608;23336,78;4854;25111,67;246;1774,89
291430 Iramaia;4568;18420,5;5231;21694,57;663;3274,07
291440 Iraquara;2437;12380,63;2989;16110,64;552;3730,01
291450 Irará;27693;43107,77;27887;45047,77;194;1940
291460 Irecê;129346;1352305,82;131363;1353163,82;2017;858
291470 Itaberaba;15520;90904,39;21878;137384,16;6358;46479,77
291480 Itabuna;351604;5020929,33;1156078;6550348,81;804474;1529419,48
291490 Itacaré;7254;4513,54;7254;4513,54;0;0
291500 Itaeté;6705;4957,9;8105;22022,13;1400;17064,23
291510 Itagi;2489;8436,64;2849;10214,1;360;1777,46
291530 Itagimirim;5994;33952,24;6484;36870,87;490;2918,63
291535 Itaguaçu da Bahia;2238;9058,57;2295;9796,12;57;737,55
291540 Itaju do Colônia;1697;17512,9;2632;24054,3;935;6541,4
291550 Itajuípe;2467;37144,91;3300;50448,68;833;13303,77
291570 Itamari;328;1980,3;442;2544,6;114;564,3
291580 Itambé;7280;39614,59;9468;59289,74;2188;19675,15
291590 Itanagra;3907;-;3907;-;0;0
291600 Itanhém;4915;28906,61;13629;80666,87;8714;51760,26
291610 Itaparica;17679;82227,58;17679;82227,58;0;0
291620 Itapé;2450;20269,22;4539;39207,63;2089;18938,41
291630 Itapebi;1535;10885,5;8555;58943,51;7020;48058,01
291640 Itapetinga;29375;220397,13;32858;248046,21;3483;27649,08
291650 Itapicuru;9760;2957,57;9760;2957,57;0;0
291670 Itaquara;1949;11414,83;1991;11703,76;42;288,93
291680 Itarantim;11098;27070,47;17192;62019,58;6094;34949,11
291685 Itatim;10853;46576,22;10978;46927,47;125;351,25
291690 Itiruçu;3972;22479,5;5934;28878,75;1962;6399,25
291700 Itiúba;10796;77912,11;10796;77912,11;0;0
291710 Itororó;10112;47871,93;14194;84410,4;4082;36538,47
291720 Ituaçu;2662;13016,91;7682;50730,28;5020;37713,37
291730 Ituberá;4772;22513,65;14574;64403,96;9802;41890,31
291733 Iuiú;531;3259,5;553;3511,35;22;251,85
291735 Jaborandi;2038;11992,12;12793;45810,18;10755;33818,06
291740 Jacaraci;13844;19793,08;176666;2034533,21;162822;2014740,13
291750 Jacobina;43384;656342,19;43753;662896,4;369;6554,21
291760 Jaguaquara;8403;58720,68;12366;96047,39;3963;37326,71
291770 Jaguarari;4019;24690,11;4555;30050,11;536;5360
291780 Jaguaripe;11647;3227,4;11935;4653;288;1425,6
291790 Jandaíra;298;-;298;-;0;0
291800 Jequié;145210;1727960,14;149124;1736537,2;3914;8577,06
291820 Jiquiriçá;1680;9863,55;5358;32362,72;3678;22499,17
291830 Jitaúna;6713;5231,07;7052;7032,6;339;1801,53
291835 João Dourado;16299;12560,34;17906;23296,6;1607;10736,26
291840 Juazeiro;180661;2139613,13;190859;2172128,44;10198;32515,31
291845 Jucuruçu;393;6914,7;393;6914,7;0;0
291850 Jussara;3089;14054,6;6595;32574,47;3506;18519,87
291855 Jussari;619;1989,75;1128;3358,2;509;1368,45
291860 Jussiape;9024;6599,23;10254;17959,14;1230;11359,91
291890 Lajedão;1359;3125,03;1588;4698,03;229;1573
291900 Lajedinho;2411;-;2411;-;0;0
291905 Lajedo do Tabocal;2430;15294,75;3542;20808,26;1112;5513,51
291910 Lamarão;21;-;21;-;0;0
291915 Lapão;4386;32079,85;9920;64884,64;5534;32804,79
291920 Lauro de Freitas;129684;1157736,78;130573;1165457,97;889;7721,19
291930 Lençóis;2574;9385,95;2957;13121;383;3735,05
291940 Licínio de Almeida;4294;4239,04;5290;8443,91;996;4204,87
291950 Livramento de Nossa Senhora;28211;119003,23;28211;119003,23;0;0
291955 Luís Eduardo Magalhães;57166;533841,52;57166;533841,52;0;0
291960 Macajuba;916;5903,84;4107;23704,91;3191;17801,07
291970 Macarani;8122;26339,87;8870;33706,9;748;7367,03
291980 Macaúbas;11763;134552,2;25090;140501,15;13327;5948,95
291990 Macururé;587;3593,4;1186;8604;599;5010,6
291992 Madre de Deus;46183;90490,75;46279;91259,47;96;768,72
292000 Maiquinique;1500;8067,45;2091;10212,13;591;2144,68
292010 Mairi;9822;58872,48;10166;60255,18;344;1382,7
292020 Malhada;1116;5224,79;1465;7055,84;349;1831,05
292040 Manoel Vitorino;714;2859,6;1432;7876,5;718;5016,9
292070 Maraú;3040;14414,66;4088;21944,22;1048;7529,56
292080 Marcionílio Souza;303;2516,1;303;2516,1;0;0
292090 Mascote;96;477,51;96;477,51;0;0
292100 Mata de São João;48054;151515,99;49779;166573,02;1725;15057,03
292105 Matina;1322;6304,16;1745;8453,21;423;2149,05
292120 Miguel Calmon;11794;78941,26;11838;79073,63;44;132,37
292130 Milagres;218;2369,99;994;16769,09;776;14399,1
292140 Mirangaba;1554;3713,35;1677;3796,57;123;83,22
292145 Mirante;74;542,1;74;542,1;0;0
292160 Morpará;492;2435,4;620;3069;128;633,6
292170 Morro do Chapéu;28867;262443,61;30923;285661,81;2056;23218,2
292180 Mortugaba;3107;8739,36;6275;30273,9;3168;21534,54
292190 Mucugê;3444;16357,93;5171;21663,85;1727;5305,92
292200 Mucuri;6687;34773,98;8416;45071,82;1729;10297,84
292205 Mulungu do Morro;2438;12762,92;5716;40020,04;3278;27257,12
292210 Mundo Novo;4589;22730,92;6280;31577,45;1691;8846,53
292220 Muniz Ferreira;214;1228,35;931;4777,5;717;3549,15
292225 Muquém de São Francisco;4161;2795,55;5710;11534,31;1549;8738,76
292230 Muritiba;4774;54139,34;5302;57315,76;528;3176,42
292240 Mutuípe;21052;135372,28;24586;163378,41;3534;28006,13
292250 Nazaré;21399;120514,54;28559;158769,87;7160;38255,33
292260 Nilo Peçanha;549;3090,3;1382;7348,2;833;4257,9
292265 Nordestina;5221;-;5221;-;0;0
292270 Nova Canaã;1108;5562,67;3375;13736,56;2267;8173,89
292273 Nova Fátima;321;2015,85;1015;5894,85;694;3879
292275 Nova Ibiá;731;3585,97;1741;14324,64;1010;10738,67
292280 Nova Itarana;314;1924,2;648;6060,6;334;4136,4
292285 Nova Redenção;2085;1183,05;2280;2148,3;195;965,25
292303 Novo Horizonte;421;2925,3;1872;10107,75;1451;7182,45
292310 Olindina;11100;9603,59;12192;19663,91;1092;10060,32
292320 Oliveira dos Brejinhos;9423;25257,55;13150;48165,73;3727;22908,18
292335 Ourolândia;45968;7428,7;46871;13006,89;903;5578,19
292340 Palmas de Monte Alto;4979;18440,76;6360;27751,45;1381;9310,69
292350 Palmeiras;403;2284,95;1268;6958,8;865;4673,85
292360 Paramirim;15750;63596,17;15750;63596,17;0;0
292370 Paratinga;9308;33884,66;9420;34316,25;112;431,59
292380 Paripiranga;7576;6349,2;7850;8650,8;274;2301,6
292390 Pau Brasil;956;6336,26;3816;32998,3;2860;26662,04
292400 Paulo Afonso;80230;1284349,35;89886;1362916,53;9656;78567,18
292405 Pé de Serra;5680;2930,85;6436;6890,4;756;3959,55
292410 Pedrão;12235;13932,7;20578;68639,66;8343;54706,96
292420 Pedro Alexandre;510;3237;629;4236,6;119;999,6
292430 Piatã;5543;30771,1;6343;35930,89;800;5159,79
292440 Pilão Arcado;4977;14382,87;6961;19430,89;1984;5048,02
292450 Pindaí;4255;2927,43;4255;2927,43;0;0
292460 Pindobaçu;8954;55169,82;8954;55169,82;0;0
292465 Pintadas;3701;10171,9;7174;25140,47;3473;14968,57
292467 Piraí do Norte;335;2191,8;617;3587,7;282;1395,9
